,date,open,high,low,close,volume
4407,2011-06-02,2384.421,2396.365,2361.857,2390.08,4821000000
4408,2011-06-03,2388.616,2421.231,2388.062,2414.084,4089244000
4409,2011-06-07,2409.186,2437.031,2405.086,2435.494,4186900800
4410,2011-06-08,2432.888,2450.593,2409.525,2444.865,4388950800
4411,2011-06-09,2439.488,2445.536,2401.074,2401.68,5139674000
4412,2011-06-10,2397.69,2408.414,2372.355,2407.115,4480458400
4413,2011-06-13,2389.779,2401.614,2371.384,2400.917,3796852000
4414,2011-06-14,2396.473,2438.437,2392.777,2436.724,4617979200
4415,2011-06-15,2430.935,2448.016,2423.056,2423.638,4666477600
4416,2011-06-16,2402.338,2409.872,2380.655,2380.821,4300896000
4417,2011-06-17,2381.096,2392.376,2359.51,2361.846,3777913600
4418,2011-06-20,2353.309,2357.32,2330.201,2339.846,3416403200
4419,2011-06-21,2349.755,2368.981,2335.289,2368.071,3782029600
4420,2011-06-22,2368.48,2373.467,2354.126,2365.988,3406843200
4421,2011-06-23,2358.101,2405.949,2349.063,2401.335,4419803200
4422,2011-06-24,2390.582,2456.995,2387.606,2442.037,7159740800
4423,2011-06-27,2443.983,2468.009,2441.749,2459.567,5916266400
4424,2011-06-28,2461.348,2468.046,2442.74,2463.188,5312413600
4425,2011-06-29,2462.989,2468.435,2439.065,2439.843,5024512000
4426,2011-06-30,2441.871,2482.383,2441.871,2473.971,5139663200
4427,2011-07-01,2479.515,2495.375,2468.466,2479.864,5311665600
4428,2011-07-04,2490.464,2529.965,2490.464,2529.785,7335208000
4429,2011-07-05,2530.325,2540.384,2520.874,2539.874,6998078400
4430,2011-07-06,2537.208,2542.975,2512.814,2541.48,6356363600
4431,2011-07-07,2537.197,2554.532,2521.707,2525.673,6677177200
4432,2011-07-08,2526.268,2534.659,2508.732,2523.707,5060304400
4433,2011-07-11,2515.216,2536.346,2510.155,2532.499,5043983200
4434,2011-07-12,2514.317,2514.711,2485.07,2486.493,5586158000
4435,2011-07-13,2487.239,2526.346,2487.239,2524.537,5596409200
4436,2011-07-14,2530.961,2547.635,2523.187,2545.184,6506762400
4437,2011-07-15,2539.833,2557.169,2533.757,2555.453,6677844800
4438,2011-07-18,2556.869,2563.905,2544.611,2552.977,6554716400
4439,2011-07-19,2541.422,2549.226,2529.888,2536.123,5784412800
4440,2011-07-20,2548.76,2555.264,2516.485,2531.727,5217706000
4441,2011-07-21,2533.61,2536.683,2500.862,2501.486,4928691200
4442,2011-07-22,2505.642,2520.946,2502.577,2508.539,4245003600
4443,2011-07-25,2499.288,2499.288,2422.395,2431.026,6592237600
4444,2011-07-26,2427.387,2447.658,2415.936,2446.861,4368445600
4445,2011-07-27,2433.84,2482.251,2423.99,2478.317,5005655600
4446,2011-07-28,2456.918,2478.179,2441.936,2476.008,4870543200
4447,2011-07-29,2469.783,2479.334,2436.935,2447.198,4163420000
4448,2011-08-01,2446.36,2461.23,2438.403,2452.069,3527565600
4449,2011-08-02,2440.257,2440.257,2399.235,2429.029,4307439600
